עד תאריך	מתאריך	קובץ תמונה	תוכן3	תוכן2	תוכן1	כותרת
ט״ו סיון	ט״ו סיון	hafets.jpg			מי שכבר שמע והאמין ללשון הרע צריך להוציא הדברים מלבו, לא להאמינם, לקבל על עצמו להיזהר בעתיד, ולתקן ככל יכולתו.	הלכות לשון הרע, כלל ו, סעיף י״ב
ט״ז סיון	ט״ז סיון	hafets.jpg			גם אם הסיפור נאמר בפרסום לפני רבים, אסור להחליט שהוא אמת. אפשר רק לחשוש ולברר, ואם יתברר כדין לפעול לפי הצורך.	הלכות לשון הרע, כלל ז, סעיף א׳
י״ז סיון	י״ז סיון	hafets.jpg			אין היתר להאמין ללשון הרע גם אם המספר אמר זאת בפני האדם שעליו מדובר, כל עוד לא שמענו הודאה ממנו ואין בירור אמיתי.	הלכות לשון הרע, כלל ז, סעיף ב׳
י״ח סיון	י״ח סיון	hafets.jpg			כשם שאסור לקבל לשון הרע מאחד, כך אסור לקבל משניים או יותר. ריבוי המספרים אינו הופך את הגנות לאמת ודאית.	הלכות לשון הרע, כלל ז, סעיף ג׳
י״ט סיון	י״ט סיון	hafets.jpg			גם אם יצא קול על אדם שעשה דבר שלא כראוי, אסור לקבל ולהאמין לקול. מותר רק לחשוש עד שיתברר הדבר.	הלכות לשון הרע, כלל ז, סעיף ד׳
כ סיון	כ סיון	hafets.jpg			לגבי אדם שהוחזק כרשע בעבירות ידועות יש פרטי דין מיוחדים, אך אין ללמוד מכך היתר כללי לקבל לשון הרע על כל אדם.	הלכות לשון הרע, כלל ז, סעיף ה׳
כ״א סיון	כ״א סיון	hafets.jpg			אם אדם סיפר דבר שיש בו גנאי עליו ועל חברו, מותר להאמין לו רק לגבי עצמו, אך לא לגבי חברו שעליו אין לו נאמנות.	הלכות לשון הרע, כלל ז, סעיף ו׳
כ״ב סיון	כ״ב סיון	hafets.jpg			"מרגל בחברו עובר בלא תעשה שנאמר (ויקרא י""ט ט""ז) :""לא תלך רכיל בעמך"". איזהו רכיל? זה שטוען דברים והולך מזה לזה ואומר : כך אמר פלוני עליך. וכך וכך שמעתי על פלוני שעשה לך. אף על פי שהוא אמת, הרי זה מחריב את העולם. ויש עוון גדול מזה עד מאוד והוא לשון הרע והוא בכלל לאו זה. והוא המספר בגנות חברו אף על פי שאומר אמת. אבל האומר שקר נמצא מוציא שם רע על חברו."	הלכות לשון הרע, פתיחה – לאוין, א
כ״ג סיון	כ״ג סיון	hafets.jpg			"ועובר גם המספר או המקבל בלאו (שמות כ""ג א') של ""לא תשא שמע שוא"" וקרוי גם ""לא תשיא"", ואם כן לאו זה כולל את שניהם, המספר והמקבל."	הלכות לשון הרע, פתיחה – לאוין, ב
כ״ד סיון	כ״ד סיון	hafets.jpg			"ועובר גם המספר במה שכתוב (דברים כ""ד ח'): השמר בנגע הצרעת לשמור מאוד ולעשות. ופרשו בספרא, שמה שכתבה התורה לשמור מאוד, הכוונה שלא לשכוח מליזהר בלשון הרע, שלא תבוא עליך הצרעת על ידי סיפור זה"	הלכות לשון הרע, פתיחה – לאוין, ג
כ״ה סיון	כ״ה סיון	hafets.jpg		כי בשמים כולן נכתבין בשם חבורת רשע. כי כן מובא בצוואת רבי אליעזר הגדול שצוה להורקנוס בנו וזה לשונו: בני, אל תשב בחבורות האומרים גנאי מחבריהם, כי כשהדברים עולים למעלה – בספר נכתבין וכל העומדים שם נכתבין בשם חבורת רשע	"עובר גם המספר והמקבל בלאו (ויקרא י""ט י""ד) ""לפני עוור לא תתן מכשול"". כי כל אחד נותן מכשול בפני חבירו, שיעבור על לאוין המפורשין בתורה. אך יש חלוק בזה בין המספר והמקבל בזה. שהמספר עובר בלאו בין היו השומעים מועטים או מרובים, ואדרבה ככל שיתרבו השומעים כן גודל הלאו. לא כן המקבל, ייתכן שאין עובר אלא רק אם הוא לבד, שאם לא היה מקשיב לא היה למספר למי לספר הלשון הרע. אבל אם יש שומעים אחרים, ייתכן שאין עובר על לאו זה אלא רק על שאר לאוין המפורשין בפתיחה זו. וכל זה אם בא לאחר תחילת הסיפור, אבל אם היה מתחילה, בוודאי עובר בכל האופנים כי על ידו התחיל האיסור. ועל כל פנים צריך להיזהר מחבורות כאלה, שלא לישב עמהם"	הלכות לשון הרע, פתיחה – לאוין, ד
כ״ו סיון	כ״ו סיון	hafets.jpg			"ועובר גם המספר בלאו (דברים ח' י""א) ""השמר לך פן תשכח את ה' אלוהיך"" שהוא אזהרה לגסי הרוח. כי כיון שהוא מלעיג על חבירו, מן הסתם הוא מחשיב את עצמו לחכם ולאיש באנשים כי אילו היה מכיר את נגעי עצמו, לא היה מלעיג לחברו. וידוע מאמר חז""ל בסוטה (ד:) שעוון הגאווה קשה הוא עד מאוד, כמו שמובא שם שעבור זה אין עפרו ננער לתחיית המתים. והוא כעובד כוכבים ומזלות, ושכינה מיללת עליו, ונקרא תועבה. ובפרט אם בסיפור הזה של לשון הרע הוא מכבד את עצמו, בוודאי עובר בלאו זה. מלבד מה שכרתוהו ז""ל מעולם הבא ואמרו (ירושלמי פרק ב' הלכה א'): ""המתכבד בקלון חברו- אין לו חלק לעולם הבא""."	הלכות לשון הרע, פתיחה – לאוין, ה
כ״ז סיון	כ״ז סיון	hafets.jpg			"ועובר גם המספר והמקבל בלאו (ויקרא כ""ב ל""ב) ""לא תחללו את שם קדשי"". אחרי שאין בזה תאווה או הנאה גשמית, שעל ידי זה יתגבר יצרו עליו, על כן נחשב העוון הזה כמרד ופריקת עול מלכות שמים בעלמא. ומחלל שם שמים בזה. וכל זה אפי' בסתם איש ישראל. ובפרט אם הוא איש חשוב שהכול מסתכלים על מעשיו בוודאי מתחלל השם על ידי זה. ועל אחת כמה וכמה אם היה העברה הזאת ברבים, בוודאי שהחטא גדול עד מאוד שנקרא מחלל שם שמים ברבים."	הלכות לשון הרע, פתיחה – לאוין, ו
כ״ח סיון	כ״ח סיון	hafets.jpg			"ולפעמים עובר גם המספר בלאו של (ויקרא י""ט י""ז) ""לא תשנא את אחיך בלבבך"". כגון אם בפניו שלום ידבר את רעהו, ושלא בפניו מבאיש את ריחו בפני אחרים. ועל אחת כמה וכמה אם בפרוש מצווה להם, שלא ילכו ויודיעוהו וודאי עובר על לאו זה."	הלכות לשון הרע, פתיחה – לאוין, ז
כ״ט סיון	כ״ט סיון	hafets.jpg			"והוא עובר מתחילה על הנטירה בלב, על לאו ""לא תטור"". ואחר כך כשנוקם ממנו וסיפר עליו עבור זה הדברי גנות שראה עליו, עובר גם על לאו של ""לא תקום"". אלא צריך שימחה הדבר מליבו. לפעמים שהמספר עובר גם כן על לאו (ויקרא י""ט י""ח) של ""לא תקום ולא תטור"". כגון שיש לו שנאה עליו על דבר, שבקש ממנו לעשות לו טובה כגון הלוואה וכיוצא בזה, ולא היטיבו ועבור זה נוטר לו שנאה בליבו. וכשרואה אחר כך עליו דבר גנאי, מפרסמו בפנים אנשים"	הלכות לשון הרע, פתיחה – לאוין, ח ט
ל סיון	ל סיון	hafets.jpg			"ואם קם והעיד עליו לפני בית דין בדבר איסור ביחידי, כיון שאין יכול לבוא בזה שום תועלת בדבר ממון ושבועה ולא לענין לפסול את האיש הזה מחזקת כשרותו כיון שהוא עד אחד בדבר, אם כן שם רע בעלמא הוא מוציא עליו. ועובר על לאו של ""לא יקום עד אחד באיש לכל עוון ולכל חטאת"". וצריכין בית דין להלקותו עבור זה."	הלכות לשון הרע, פתיחה – לאוין, י
א תמוז	א תמוז	hafets.jpg			"וכל זה שכתבנו הוא במספר יחידי או שומע יחידי. אבל אם הוא מדבק את עצמו לחבורת אנשי רשע ובעלי לשון הרע, כדי לספר ולשמוע מהם. עובר גם כן על לאו ""לא תהיה אחרי רבים לרעות"". שהוא אזהרה לא להסכים ולהתחבר עם עושי עוול אף על פי שהם רבים. ועין לקמן באות ו' במצות עשה, שעובר גם על מצות עשה על התחברות רעה זו."	הלכות לשון הרע, פתיחה – לאוין, יא
ב תמוז	ב תמוז	hafets.jpg			"ואם הוא מחזיק במחלוקת על ידי סיפורו עובר גם על לאו (במדבר יז ה') של ""לא יהיה כקורח וכעדתו"" שהוא אזהרה לא להחזיק במחלוקת"	הלכות לשון הרע, פתיחה – לאוין, יב
ג תמוז	ג תמוז	hafets.jpg			"ופעמים רבות מצוי לאו נוסף: אסור לבזות אדם על פי מעשים שעשה בעבר, ייחוס משפחתי, חוסר חכמה או חוסר הצלחה. גם כאשר הדבר היה בין שניהם בלבד, יש בזה איסור ""לא תונו איש את עמיתו"", וקל וחומר בפני אחרים."	הלכות לשון הרע, פתיחה – לאוין, יג
ד תמוז	ד תמוז	hafets.jpg			"אם גינהו בדברים עד שהשתנו פניו, עובר על ""לא תשא עליו חטא"". התורה הזהירה שלא לבייש יהודי אפילו בתוכחה שבינו לבין עצמו, וכל שכן שאין לביישו שלא בדרך תוכחה או ברבים."	הלכות לשון הרע, פתיחה – לאוין, יד
ה תמוז	ה תמוז	hafets.jpg			"אם מדובר ביתום או אלמנה, אפילו אם הם עשירים, וסיפור גנותם מצער אותם, עובר גם על ""כל אלמנה ויתום לא תענון"". התורה החמירה מאוד שלא להקניטם או להכאיב להם."	הלכות לשון הרע, פתיחה – לאוין, טו
ו תמוז	ו תמוז	hafets.jpg			לפעמים עובר גם על איסור חנופה, כגון שמספר לשון הרע כדי למצוא חן בעיני השומע, או שמסכים לדברי המספר אף שיודע שהם אסורים. חובה לא להחניף לעוברי עבירה ולא לחזק שנאה.	הלכות לשון הרע, פתיחה – לאוין, טז
ז תמוז	ז תמוז	hafets.jpg			"לפעמים מצוי עוד לאו של ""לא תקלל חרש"", כאשר מתוך כעס על אדם המספר בא לידי קללה. אם התורה אסרה לקלל אפילו מי שאינו שומע, כל שכן שיש להיזהר בדיבור על כל אדם."	הלכות לשון הרע, פתיחה – לאוין, יז
ח תמוז	ח תמוז	hafets.jpg			"המספר לשון הרע עובר על מצוות עשה של ""זכור את אשר עשה ה׳ אלוהיך למרים"". עלינו לזכור שמרים הצדקת נענשה אף שכוונתה היתה לטובה, ומזה נלמד חומרת הדיבור."	הלכות לשון הרע, פתיחה – עשין, א
ט תמוז	ט תמוז	hafets.jpg			"המספר או המקבל לשון הרע מבטל מצוות ""ואהבת לרעך כמוך"". אדם שאוהב את חברו אינו רוצה בגנותו ואינו שמח לשמוע או לפרסם חסרונותיו."	הלכות לשון הרע, פתיחה – עשין, ב
י תמוז	י תמוז	hafets.jpg			"לעיתים עובר גם על ""בצדק תשפוט עמיתך"". כאשר אפשר לפרש מעשה של אדם לכף זכות, אין להכריעו לגנאי ולספר עליו, אלא לדון אותו ביושר וברחמים."	הלכות לשון הרע, פתיחה – עשין, ג
י״א תמוז	י״א תמוז	hafets.jpg			אם על ידי הסיפור איבד חברו את פרנסתו, כגון שפרסם עליו שאינו נאמן או אינו מקצועי, עובר גם על החובה להחזיק את חברו ולא לגרום לו הפסד וצער.	הלכות לשון הרע, פתיחה – עשין, ד
י״ב תמוז	י״ב תמוז	hafets.jpg			"לפעמים המקבל לשון הרע עובר על מצוות ""הוכח תוכיח"". אם יכול להפסיק את המספר או להראות לו שאסור לדבר כך ואינו עושה זאת, הוא נכשל בשתיקה במקום תוכחה."	הלכות לשון הרע, פתיחה – עשין, ה
י״ג תמוז	י״ג תמוז	hafets.jpg			"מי שיושב עם בעלי לשון הרע ומתחבר אליהם עובר על מצוות ""ובו תדבק"", שכן עליו להידבק בטובים ובתלמידי חכמים ולא בחבורה שמרגילה לדיבור אסור."	הלכות לשון הרע, פתיחה – עשין, ו
י״ד תמוז	י״ד תמוז	hafets.jpg			"אם מדבר לשון הרע בבית הכנסת או בבית המדרש, עובר גם על ""ומקדשי תיראו"". מקום קדוש מחייב זהירות גדולה יותר בדיבור, במחשבה ובכבוד המקום."	הלכות לשון הרע, פתיחה – עשין, ז
ט״ו תמוז	ט״ו תמוז	hafets.jpg			"אם סיפר לשון הרע על זקן או תלמיד חכם וגינה אותו בפניו, עובר על ""והדרת פני זקן"". מצווה לכבד את הזקן, והדיבור בגנותו הוא היפך הכבוד."	הלכות לשון הרע, פתיחה – עשין, ח
ט״ז תמוז	ט״ז תמוז	hafets.jpg			"המספר לשון הרע על כהן וגינה אותו בכך עובר על ""וקדשתו"". התורה ציוותה לנהוג כבוד בכהנים, והמבזה אותם בדיבור מבטל כבוד זה."	הלכות לשון הרע, פתיחה – עשין, ט
ז אב	"י""ז תמוז"		בשלוש השבתות של ימי בין המצרים מפטירים בנביא, לאחר קריאת התורה, שלוש הפטרות העוסקות בפורענות ובעונשים שיבואו על חטאי העם - תלתא דפורענותא (בשונה משבע דנחמתא). בימי בין המצרים חלים דיני אבלות על חורבן בית המקדש הראשון והשני, וככל שמתקרבים לתשעה באב - ביטויי האבל הולכים ומחמירים. (מתוך וויקיפדיה)	 הביטוי בין הַמְצָרִים מופיע במגילת איכה, המתארת את חורבן הבית הראשון ואת מצבה של ממלכת יהודה בעקבות החורבן: גָּלְתָה יְהוּדָה מֵעֹנִי, וּמֵרֹב עֲבֹדָה--הִיא יָשְׁבָה בַגּוֹיִם, לֹא מָצְאָה מָנוֹחַ, כָּל-רֹדְפֶיהָ הִשִּׂיגוּהָ, בֵּין הַמְּצָרִים. (איכה א, ג). גדולי המוסר דרשו על הפסוק שמתוך צערו של אדם ליבו מתעורר לחזרה בתשובה.	ימי בין המצרים הם שלושת השבועות שבין שבעה עשר בתמוז, היום שבו הובקעה חומת ירושלים, לתשעה באב, היום שבו חרב בית המקדש. ימים אלה מציינים את ימי הצרה והמצוקה הקשורים לחורבן, ונוהגים בהם מנהגי אבל ההולכים ומתגברים ככל שקרבים לתשעה באב.	ימי בין המצרים
י אב	ח אב		ובו ביום המוכן לפורענות, חרש טורנוסרופוס הרשע ממלכי אדום את ההיכל ואת סביביו, לקיים צִיּוֹן שָׂדֶה תֵחָרֵשׁ (ירמיהו כו,יח, מיכה ג,יב).	ונלכדה עיר גדולה ובית תור היה שמה, והיו בה אלפים ורבבות מישראל, (ביתר בזמן מרד בר כוכבא) והיה להם מלך גדול ודימו כל ישראל וגדולי החכמים שהוא המלך המשיח, ונפל ביד גויים ונהרגו כולם, והייתה צרה גדולה כמו חורבן המקדש, 	תשעה באב - חמישה דברים אירעו בו: נגזר על ישראל במדבר שלא ייכנסו לארץ (בעקבות חטא המרגלים), וחרב הבית בראשונה, ובשנייה (חרב בית המקדש השני), 	תשעה באב
י״א אב	י״א אב	hafets.jpg			"אם מספר לשון הרע על אחיו הגדול או על מי שחייב בכבודו מצד אביו ואמו, עובר גם על מצוות כיבוד אב ואם שנלמדת מריבוי ""ואת""."	הלכות לשון הרע, פתיחה – עשין, י
י״ב אב	י״ב אב	hafets.jpg			"המספר לשון הרע עובר על ""את ה׳ אלוהיך תירא"". מי שמפקיר את דיבורו שוכח שהקב״ה משגיח על כל מעשה ודיבור ודן את האדם לפי חומרת מעשיו."	הלכות לשון הרע, פתיחה – עשין, יא
"ט""ו אב"	"י""ג אב"			חזל מנו שישה אירועים שהתרחשו בתאריך זה. שניים מהם: מחילת מתי-מדבר והתרת נישואים בין השבטים. יש אומרים שכל הארועים מתקשרים לאהבה ואחדות ישראל ובכך מהווה טו באב תיקון של תשעה באב, בו נחרב בית המקדש בגלל שנאת חינם.	אָמַר רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל, לֹא הָיוּ יָמִים טוֹבִים לְיִשְׂרָאֵל כַּחֲמִשָּׁה עָשָׂר בְּאָב וּכְיוֹם הַכִּפּוּרִים, שֶׁבָּהֶן בְּנוֹת יְרוּשָׁלַיִם יוֹצְאוֹת בִּכְלֵי לָבָן שְׁאוּלִין, שֶׁלֹּא לְבַיֵּשׁ אֶת מִי שֶׁאֵין לוֹ. כָּל הַכֵּלִים טְעוּנִין טְבִילָה. וּבְנוֹת יְרוּשָׁלַיִם יוֹצְאוֹת וְחוֹלוֹת (רוקדות) בַּכְּרָמִים... – המשנה בסוף מסכת תענית.	טו באב
"ט""ז אב"	"ט""ו אב"			בפרשה זו אנו מוצאים את הפרשה הראשונה בקריאת שמע ואת עשרת הדיברות. מפטירים בה בנחמת ישעיהו נחמו נחמו עמי[ישעיהו פרק מ'] זו ההפטרה הראשונה בסדרת שבע ההפטרות של הנחמה.	הפרשה השניה בספר דברים – מנין הפסוקים קיח הפרשה פותחת בתחינתו של משה רבינו להכנס לאי, ובדבריו אל בני ישראל הזוכים להיכנס אל הארץ. בפרשה מדובר על הנחיצות להזהר בעבודה זרה, תוך שהוא חוזר על מעמד הר סיני.	פרשת ואתחנן – שבת נחמו
"כ""ג אב"	"ט""ז אב"		שני טעמים בדבר: הטעם הראשון, כתב החיי אדם (כלל כו אות ג) משום דהמתפלל השכינה כנגדו ואסור להפסיק בינו לשכינה. טעם שני, כתב המשנה ברורה (שם סק טו) דאסור לעבור, מפני שמבטל כונת המתפלל על ידי זה.	אם אחר שיפסע שלש פסיעות יכנס לתוך ארבע אמותיו, לא יפסע שלש פסיעות, אלא ימתין עד שאותו שעומד אחריו יסיים תפלתו. ואם אחר שיפסע שלש פסיעות יהיה מצדו של המתפלל מלפניו, בתוך ארבע אמותיו, ולא יהיה ממול פניו ממש, רשאי לפסוע שלש פסיעות. 	אסור לעבור כנגד המתפללים בתוך ד' אמות, והיינו תוך 1.92 מטר מהמתפלל. ואיסור זה הוא אפילו בזמן הזה שאין הכל מכוונים. ודוקא לפניהם, אבל בצדיהם מותר לעבור ולעמוד אפילו בתוך ד' אמותיהם. ולכן מי שסיים תפלתו, ומאחוריו עומד מי שלא סיים תפלתו,	מהלכות תפילה
כ״ד אב	כ״ד אב	hafets.jpg			בשעה שאדם מדבר לשון הרע הוא גם מבטל מצוות תלמוד תורה, ששכרה גדול מאוד והיא שקולה כנגד כל המצוות. במקום דיבור אסור עליו לעסוק בדברי תורה.	הלכות לשון הרע, פתיחה – עשין, יב
כ אלול	"כ""ה אב"			חודש אלול והימים שבין ראש השנה ליום כיפור הם ימי רצון ורחמים וחשבון הנפש, והתפילה והתשובה מתקבלות בהם ביותר, לכן מרבים בתפילה ובסליחות ובמעשי צדקה באלול ובעשרת ימי התשובה. אופיים זה של ארבעים הימים האלו קשור בעלייתו של משה לשמים.	הסליחות הנאמרות באלול ובעשרת ימי תשובה, וגם בימי תענית שונים, הן פיוטים ותפילות שתוכנם בקשת סליחה ומחילה מד' על החטאים והעוונות שעשו בני ישראל. בפיוטים ובתפילות אלה משולבים פסוקים מהמקרא ורמזים למאמרי חזל המבטאים את רעיון התשובה וזכות האבות העומדת לבניהם, ובעיקר - מזכירים בהם כמה וכמה פעמים את שלוש עשרה המידות של הקדוש ברוך הוא. 	ימי הסליחות
כ״א אלול	כ״א אלול	hafets.jpg			"אם בתוך הסיפור נתערב אפילו מקצת שקר, עובר גם על ""מדבר שקר תרחק"" ונעשה בגדר מוציא שם רע. חומרתו גדולה מלשון הרע הנאמרת על דבר אמת."	הלכות לשון הרע, פתיחה – עשין, י״ג
כ״ב אלול	כ״ב אלול	hafets.jpg			"עוד עובר על ""והלכת בדרכיו"". הקב״ה רחום וחנון וגומל חסדים, ואדם שמרגיל עצמו לדבר בגנות הבריות מתרחק מן המידות הטובות."	הלכות לשון הרע, פתיחה – עשין, י״ד
כ״ג אלול	כ״ג אלול	hafets.jpg			"המספר לשון הרע נוגע גם בארורים שנאמרו בתורה, כגון ""ארור מכה רעהו בסתר"" ו""ארור משגה עיוור בדרך"", כי הדיבור הרע פוגע בסתר ומכשיל אחרים."	הלכות לשון הרע, פתיחה – ארורין
כ״ד אלול	כ״ד אלול	hafets.jpg			"אסור לספר דבר גנות על חברו אפילו אם הגנות אמת. זהו לשון הרע, והמספר עובר על ""לא תלך רכיל בעמך"" כאשר הוא מפרסם דבר המבזה את חברו."	הלכות לשון הרע, כלל א, סעיף א׳
כ״ה אלול	כ״ה אלול	hafets.jpg			האיסור המפורש של לשון הרע אינו היחיד; על ידי סיפור לשון הרע עלול אדם לעבור על עוד הרבה לאוין ועשין, ולכן צריך זהירות גדולה מאוד.	הלכות לשון הרע, כלל א, סעיף ב׳
"כ""ט אלול"	"כ""ו אלול"		ויש נוהגים לסיים בראש השנה שתי פעמים את כל התהילים, שיש בתהילים קנ פרקים, ופעמיים קנ עולה למניין כפר, (כי כפר בגימטריא שלוש מאות). וכתב בספר בן איש חי שיש נוהגים ללמוד בליל ראש השנה אחר הסעודה מסכת ראש השנה עם פירוש רבנו עובדיה מברטנורא, ומנהג יפה הוא. וכתב עוד רבנו יוסף חיים זצל בספר בן איש חי, שיזהר אדם שלא יבא לידי כעס בראש השנה, שמלבד האיסור לכעוס בכל השנה, אין זה סימן טוב לאדם להיות כעוס בימים אלו, ויזהר שלא יכעס אפילו בליבו. לכן על כל אדם להיות חכם עיניו בראשו, להכין עצמו מראש שיהיה שמח ביום רה, שאפילו אם יכעיסוהו באיזה דבר, יהיה גבור לשלוט ברוחו שלא לבוא לידי -כעס.	נהגו שלא לישון ביום ראש השנה, (דהיינו שינת צהרים וכדומה), שאין זה נאה לישון ביום שבו ספרי חיים וספרי מתים לפניו נפתחים. ואמרו בתלמוד ירושלמי שהישן בראש השנה גורם לכך שמזלו ישן. ולכן ישתדל כל אדם לקום בימי ראש השנה בעלות השחר, ולכל הפחות עם הנץ החמה, ויתכונן לתפילה בכוונה כראוי. ואם הוא עייף ומוכרח לישון, מותר לישון אחר חצות היום. וכן כתב רבנו חיים ויטאל, שרבו הארי זל נהג לישון בראש השנה אחר חצות היום. 	נוהגים לאכול בימי ראש השנה, בשר שמן ודברים מתוקים, ככתוב בספר נחמיה לכו אכלו משמנים ושתו ממתקים ושלחו מנות לאין נכון לו, כי קדוש היום לאדונינו. ואין מתענין כלל בראש השנה. ויש נוהגים בשעת ברכת המוציא לטבל הפת בדבש או בסוכר. וכתב בספר כף החיים שיטבל הפת גם במלח כמנהגו בכל השנה. ויש נוהגים שלא לאכול אגוזים בראש השנה. משום שאגוז גימטריא חטא (בלא אלף), ועל פי הקבלה נוהגים שלא לאכול ענבים שחורים בראש השנה, ודווקא שחורים, אבל לבנים (כלומר ירוקים), מותר, ואדרבא סימן טוב הם. ויש נוהגים שלא לאכול בראש השנה מאכל מריר או חמוץ או חריף, וכן כתוב בתשובות הגאונים שלא לאכול מאכל חריף.	ההנהגה הראוייה לימי ראש השנה
